               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.075557,            0.025037,            0.079525,             0.30247,            0.030348,            0.005017,            0.001457,             0.10765,             0.74194,             0.10693,              0.0706,           0.0032667,           0.0032667
                   1,            0.055474,             0.01635,            0.072899,             0.16768,            0.045858,            0.010384,           0.0034997,            0.076852,             0.74963,            0.077324,            0.040541,           0.0065406,           0.0065406
                   2,            0.054771,            0.015587,            0.071163,             0.60351,            0.024816,            0.019664,           0.0080908,             0.08845,             0.37712,             0.49273,            0.010421,           0.0097545,           0.0097545
                   3,            0.053505,            0.015144,            0.068407,             0.50511,             0.10467,            0.053986,            0.023305,            0.067438,            0.082332,            0.072655,             0.00973,             0.00973,             0.00973
                   4,            0.049379,            0.014243,            0.065076,             0.56112,             0.11943,            0.087941,            0.043935,            0.083347,            0.037942,              1.5779,             0.00973,             0.00973,             0.00973
                   5,            0.047964,            0.014751,            0.064728,             0.61909,            0.011521,            0.011768,           0.0049668,                 nan,                 nan,              1.3621,             0.00964,             0.00964,             0.00964
                   6,            0.045406,            0.014434,            0.060416,             0.36758,             0.26156,             0.18073,            0.082503,            0.057685,            0.020073,            0.062428,             0.00955,             0.00955,             0.00955
                   7,            0.043675,            0.013133,            0.057009,             0.37655,             0.28879,             0.23902,             0.11884,            0.041361,             0.01216,            0.054366,             0.00946,             0.00946,             0.00946
                   8,            0.042647,             0.01313,            0.055123,              0.3664,             0.41752,             0.33593,             0.19341,            0.036672,            0.010899,            0.048325,             0.00937,             0.00937,             0.00937
                   9,            0.041021,            0.012471,            0.051594,             0.46587,             0.42167,             0.38723,              0.2217,            0.035515,            0.010456,            0.047851,             0.00928,             0.00928,             0.00928
                  10,            0.041565,               0.013,            0.050464,             0.53593,             0.37947,              0.3911,             0.21252,            0.042747,             0.01208,            0.047959,             0.00919,             0.00919,             0.00919
                  11,            0.042493,            0.012735,             0.04925,             0.38882,             0.38351,             0.34321,             0.18658,                 nan,                 nan,              4.3211,              0.0091,              0.0091,              0.0091
                  12,            0.040293,            0.012523,            0.046275,             0.49056,              0.5024,             0.48979,             0.26929,            0.037712,            0.009678,             0.03955,             0.00901,             0.00901,             0.00901
                  13,            0.041003,            0.012077,             0.04452,             0.46141,             0.49962,             0.50306,             0.29032,            0.034486,            0.009756,            0.039224,             0.00892,             0.00892,             0.00892
                  14,            0.040859,            0.012417,            0.042885,             0.50956,             0.44043,             0.44051,             0.24816,            0.038139,            0.012075,            0.038768,             0.00883,             0.00883,             0.00883
                  15,            0.039475,            0.012072,            0.040909,             0.50765,             0.40987,             0.44378,             0.22539,            0.046427,            0.011987,            0.043676,             0.00874,             0.00874,             0.00874
                  16,            0.040166,            0.012132,            0.040094,             0.53828,             0.53611,              0.5303,             0.29809,            0.036451,              0.0106,            0.035437,             0.00865,             0.00865,             0.00865
                  17,            0.039468,            0.011825,            0.038947,             0.53809,              0.6506,             0.60727,              0.3639,            0.034527,           0.0097274,            0.031978,             0.00856,             0.00856,             0.00856
                  18,            0.040837,            0.011845,            0.037017,             0.49745,             0.56455,             0.54974,             0.31645,            0.036758,            0.012025,            0.031992,             0.00847,             0.00847,             0.00847
                  19,            0.039908,            0.012451,            0.037178,             0.59597,             0.51488,             0.55364,             0.32007,            0.039775,            0.012517,            0.031788,             0.00838,             0.00838,             0.00838
                  20,            0.038645,             0.01202,            0.035286,             0.65673,             0.57639,             0.62769,             0.34517,             0.03736,            0.012235,            0.031587,             0.00829,             0.00829,             0.00829
                  21,            0.038928,            0.011612,             0.03472,             0.60374,             0.67337,             0.67713,             0.41864,            0.032867,            0.009412,            0.026399,              0.0082,              0.0082,              0.0082
                  22,            0.038593,            0.011503,            0.033318,             0.72388,             0.64346,             0.70686,             0.42062,            0.033322,           0.0089214,            0.024872,             0.00811,             0.00811,             0.00811
                  23,            0.038634,            0.011826,            0.031621,             0.68154,             0.67543,             0.74514,             0.44344,            0.032966,           0.0085919,            0.022663,             0.00802,             0.00802,             0.00802
                  24,            0.037809,            0.011757,            0.031707,              0.6899,             0.68001,             0.70615,             0.40555,            0.036881,            0.010231,            0.027057,             0.00793,             0.00793,             0.00793
                  25,            0.038246,            0.011487,            0.031298,              0.6864,             0.70157,             0.73625,             0.45405,            0.033145,           0.0095731,            0.022691,             0.00784,             0.00784,             0.00784
                  26,            0.038068,            0.011311,            0.032457,             0.70452,             0.43846,             0.51628,             0.29008,            0.064068,             0.02363,            0.055955,             0.00775,             0.00775,             0.00775
                  27,            0.039764,            0.012345,            0.032492,             0.57913,            0.039885,            0.043123,            0.016543,             0.14735,            0.022334,              16.187,             0.00766,             0.00766,             0.00766
                  28,            0.039048,            0.012338,            0.030387,                   0,                   0,                   0,                   0,             0.15293,            0.072005,              25.603,             0.00757,             0.00757,             0.00757
                  29,            0.040887,            0.013028,            0.031496,             0.69088,             0.65508,             0.68728,             0.38995,             0.03359,           0.0096247,            0.023685,             0.00748,             0.00748,             0.00748
                  30,            0.038094,            0.012165,            0.029653,             0.76721,             0.67078,             0.76316,             0.45639,            0.030843,           0.0090424,            0.021614,             0.00739,             0.00739,             0.00739
                  31,            0.037628,             0.01163,            0.028604,             0.81556,             0.66616,             0.77201,             0.46618,            0.030526,           0.0084986,            0.018723,              0.0073,              0.0073,              0.0073
                  32,             0.03692,            0.011666,            0.026984,             0.78457,             0.66622,             0.76474,             0.46137,            0.034002,           0.0089312,            0.021515,             0.00721,             0.00721,             0.00721
                  33,            0.037625,            0.011309,            0.026173,             0.76668,             0.74429,             0.79465,             0.48933,            0.030755,           0.0085574,            0.017783,             0.00712,             0.00712,             0.00712
                  34,            0.035651,            0.011077,             0.02553,             0.86352,             0.69137,              0.8087,             0.49971,             0.03038,           0.0083894,            0.016485,             0.00703,             0.00703,             0.00703
                  35,            0.036997,            0.010942,            0.025474,             0.74276,             0.75262,             0.79094,             0.45804,            0.034468,           0.0089519,            0.017204,             0.00694,             0.00694,             0.00694
                  36,            0.036561,            0.010742,            0.023817,             0.86465,             0.70392,              0.8017,             0.50562,            0.029784,           0.0082838,            0.015931,             0.00685,             0.00685,             0.00685
                  37,            0.035948,            0.010651,            0.023859,             0.77005,             0.75272,             0.81371,             0.49462,            0.030844,           0.0081476,             0.01535,             0.00676,             0.00676,             0.00676
                  38,            0.035978,             0.01098,            0.023879,             0.86243,             0.70998,             0.80949,             0.51052,            0.028832,           0.0083018,            0.015029,             0.00667,             0.00667,             0.00667
                  39,            0.035425,             0.01078,            0.023201,             0.79507,             0.77644,             0.83242,             0.50928,            0.030677,           0.0083266,            0.015193,             0.00658,             0.00658,             0.00658
                  40,            0.034929,             0.01083,            0.023495,             0.85398,             0.74485,             0.82912,             0.52597,            0.028919,           0.0079909,            0.015086,             0.00649,             0.00649,             0.00649
                  41,            0.035432,            0.011204,            0.023508,              0.8713,             0.70391,             0.81385,             0.49066,            0.031345,           0.0082992,            0.014817,              0.0064,              0.0064,              0.0064
                  42,            0.036689,            0.010789,            0.022681,             0.88347,             0.76433,             0.85674,             0.52571,            0.030333,           0.0080701,            0.014539,             0.00631,             0.00631,             0.00631
                  43,            0.034479,            0.010562,            0.021015,             0.84404,             0.76904,              0.8386,             0.54707,            0.028579,           0.0078292,            0.013747,             0.00622,             0.00622,             0.00622
                  44,            0.034275,             0.01035,            0.022127,             0.86377,             0.75348,             0.84293,             0.53745,            0.029279,            0.008111,            0.014906,             0.00613,             0.00613,             0.00613
                  45,            0.034607,            0.010603,            0.022358,             0.83987,             0.69938,              0.8274,             0.51907,            0.030034,            0.008777,            0.015311,             0.00604,             0.00604,             0.00604
                  46,            0.035369,            0.010967,             0.02165,             0.85605,             0.75326,             0.85585,             0.53398,            0.029599,           0.0080656,            0.014349,             0.00595,             0.00595,             0.00595
                  47,            0.034104,            0.010554,            0.021088,             0.83315,             0.82085,             0.87579,             0.55539,             0.02713,           0.0076193,            0.011657,             0.00586,             0.00586,             0.00586
                  48,              0.0337,            0.010739,            0.020692,             0.85074,               0.805,             0.88803,             0.56467,             0.02844,           0.0077951,            0.012429,             0.00577,             0.00577,             0.00577
                  49,            0.034292,            0.010526,            0.019655,             0.85805,              0.7793,              0.8595,             0.49754,            0.029986,           0.0082013,             0.01332,             0.00568,             0.00568,             0.00568
                  50,              0.0345,            0.010708,            0.019756,             0.82088,             0.70283,             0.79906,             0.49806,            0.029755,           0.0091092,             0.01437,             0.00559,             0.00559,             0.00559
                  51,            0.033606,            0.010484,            0.020139,             0.85895,             0.82326,             0.88419,             0.57706,            0.028789,           0.0076877,            0.011948,              0.0055,              0.0055,              0.0055
                  52,            0.034579,            0.010484,            0.020746,             0.84217,             0.82676,             0.89472,             0.54372,            0.029411,           0.0077423,            0.011636,             0.00541,             0.00541,             0.00541
                  53,            0.032808,            0.010118,            0.018641,             0.85264,             0.78915,             0.88812,             0.58439,            0.026122,           0.0077087,            0.012348,             0.00532,             0.00532,             0.00532
                  54,            0.032719,            0.010327,             0.01921,             0.87019,             0.76797,             0.84505,             0.54353,            0.027252,           0.0082693,            0.012782,             0.00523,             0.00523,             0.00523
                  55,             0.03231,            0.010422,            0.019085,             0.88041,             0.75439,             0.87051,              0.5625,            0.027359,           0.0078284,            0.012839,             0.00514,             0.00514,             0.00514
                  56,             0.03155,            0.010289,            0.018326,             0.82856,             0.84233,             0.89412,             0.59919,            0.025149,           0.0077141,            0.010646,             0.00505,             0.00505,             0.00505
                  57,            0.032457,            0.010311,            0.019131,             0.82882,             0.83261,             0.88838,             0.58023,            0.027688,            0.007965,             0.01171,             0.00496,             0.00496,             0.00496
                  58,            0.032693,            0.010252,            0.017735,             0.82648,             0.84202,             0.89154,             0.57545,            0.027432,           0.0076413,            0.011258,             0.00487,             0.00487,             0.00487
                  59,             0.03218,            0.010056,            0.017168,             0.87594,             0.83212,             0.90271,             0.59962,            0.027314,           0.0077282,           0.0098021,             0.00478,             0.00478,             0.00478
                  60,            0.031997,            0.010362,            0.018123,             0.91284,             0.83921,             0.92267,             0.61542,            0.025083,           0.0075977,           0.0097192,             0.00469,             0.00469,             0.00469
                  61,            0.031546,             0.01004,            0.017701,              0.8811,              0.8676,             0.91732,             0.60061,            0.026458,           0.0072899,           0.0085888,              0.0046,              0.0046,              0.0046
                  62,            0.031132,            0.010161,            0.016649,             0.83864,              0.4821,             0.51064,              0.3337,            0.070468,            0.010258,              0.4454,             0.00451,             0.00451,             0.00451
                  63,            0.031443,           0.0099775,             0.01689,             0.90628,             0.81571,             0.90819,             0.59491,            0.025954,           0.0074481,           0.0098862,             0.00442,             0.00442,             0.00442
                  64,            0.030828,             0.01003,            0.017188,             0.89516,              0.8059,             0.88778,             0.59275,            0.025959,           0.0073794,            0.010853,             0.00433,             0.00433,             0.00433
                  65,            0.031125,           0.0099141,            0.016851,              0.8434,             0.82264,             0.88699,             0.59504,            0.026624,           0.0076591,            0.012345,             0.00424,             0.00424,             0.00424
                  66,            0.030736,           0.0096381,            0.016501,             0.88012,             0.84688,             0.90748,             0.60706,            0.024629,           0.0073255,            0.010119,             0.00415,             0.00415,             0.00415
                  67,            0.030607,           0.0098166,             0.01716,             0.89459,             0.82561,             0.91102,             0.61023,            0.026025,           0.0078447,            0.010508,             0.00406,             0.00406,             0.00406
                  68,            0.030991,            0.010034,            0.016231,             0.89516,              0.8334,             0.90754,             0.59895,            0.025683,           0.0072854,           0.0096309,             0.00397,             0.00397,             0.00397
