               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10789,            0.023622,            0.090282,           0.0020263,            0.046763,           0.0020992,          0.00055824,            0.075526,            0.019974,            0.085763,            0.070769,           0.0032479,           0.0032479
                   1,            0.068659,            0.022558,            0.084082,             0.16088,            0.075246,             0.01819,           0.0049366,            0.066037,            0.014626,            0.082089,            0.040639,           0.0064509,           0.0064509
                   2,            0.057707,             0.01516,            0.080478,               0.424,             0.12732,            0.054374,            0.024214,            0.061997,             0.01048,            0.077336,            0.010377,           0.0095219,           0.0095219
                   3,            0.051277,             0.01184,            0.076711,             0.30909,              0.1901,            0.082482,            0.037425,            0.051271,           0.0088415,            0.074718,            0.009406,            0.009406,            0.009406
                   4,            0.046464,            0.010425,            0.074496,             0.53137,             0.24734,             0.11255,            0.047697,            0.048159,           0.0089351,            0.071955,            0.009406,            0.009406,            0.009406
                   5,            0.042601,            0.010001,            0.071019,             0.53063,             0.27074,             0.15129,            0.061854,            0.045084,           0.0076667,            0.069097,            0.009208,            0.009208,            0.009208
                   6,             0.04037,           0.0096936,            0.068721,              0.4298,             0.31325,             0.19951,            0.086922,            0.043578,           0.0074885,            0.065424,             0.00901,             0.00901,             0.00901
                   7,            0.038608,           0.0091098,            0.064966,              0.6743,             0.23609,             0.22078,             0.10494,            0.039072,           0.0072654,            0.062816,            0.008812,            0.008812,            0.008812
                   8,            0.037657,           0.0091594,            0.062151,              0.5461,             0.30701,             0.24521,             0.11325,            0.036826,           0.0075529,              0.0603,            0.008614,            0.008614,            0.008614
                   9,            0.037165,           0.0090628,            0.058867,             0.55432,             0.32685,             0.27413,             0.12119,            0.036525,           0.0068728,            0.054856,            0.008416,            0.008416,            0.008416
                  10,            0.035648,            0.008634,            0.056348,             0.58189,             0.39074,             0.31501,             0.16474,            0.033399,           0.0066351,            0.052696,            0.008218,            0.008218,            0.008218
                  11,            0.034993,           0.0083693,            0.054175,             0.51194,             0.39545,             0.34475,             0.19551,            0.034225,           0.0067546,            0.051662,             0.00802,             0.00802,             0.00802
                  12,            0.034673,           0.0084401,            0.052423,             0.52823,             0.43346,             0.36689,             0.17335,            0.034678,           0.0064422,            0.049856,            0.007822,            0.007822,            0.007822
                  13,            0.034713,           0.0084207,            0.050012,             0.59477,             0.43712,             0.47158,             0.26314,            0.034133,           0.0063738,            0.046041,            0.007624,            0.007624,            0.007624
                  14,            0.034533,             0.00845,            0.047774,             0.49964,             0.53291,             0.48989,             0.25776,            0.033362,           0.0064251,            0.043338,            0.007426,            0.007426,            0.007426
                  15,            0.033655,           0.0083449,             0.04467,             0.50719,             0.55994,             0.49512,               0.243,            0.035119,           0.0064017,            0.040895,            0.007228,            0.007228,            0.007228
                  16,            0.033156,            0.007975,            0.042294,             0.65914,             0.51126,             0.53257,             0.32074,            0.031976,           0.0063761,            0.040007,             0.00703,             0.00703,             0.00703
                  17,            0.032997,           0.0081835,            0.039685,             0.59045,             0.60976,             0.60279,             0.35297,             0.03114,           0.0061837,            0.035325,            0.006832,            0.006832,            0.006832
                  18,             0.03283,           0.0078772,            0.037337,             0.65904,              0.6112,             0.63545,             0.35392,             0.03177,           0.0062323,            0.031547,            0.006634,            0.006634,            0.006634
                  19,             0.03234,           0.0080241,            0.034839,             0.68925,             0.59107,             0.64272,             0.38232,            0.032203,           0.0060599,            0.030476,            0.006436,            0.006436,            0.006436
