               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10789,            0.023622,            0.090282,           0.0020263,            0.046763,           0.0020992,          0.00055824,            0.075526,            0.019974,            0.085763,            0.070769,           0.0032479,           0.0032479
                   1,             0.06859,             0.02252,            0.084086,             0.16082,            0.095169,            0.018756,           0.0052823,            0.066713,            0.015778,            0.082407,            0.040726,           0.0065378,           0.0065378
                   2,            0.056946,            0.015205,            0.080561,             0.37447,             0.13714,             0.04627,            0.015849,            0.067459,            0.010933,            0.077294,            0.010638,           0.0097837,           0.0097837
                   3,            0.052199,            0.011789,            0.076675,             0.23531,             0.23316,            0.086734,            0.039561,            0.051542,           0.0095813,            0.074372,            0.009802,            0.009802,            0.009802
                   4,            0.045902,            0.010431,            0.074342,              0.4293,             0.24261,            0.093514,            0.045835,            0.051733,            0.009792,            0.072019,            0.009802,            0.009802,            0.009802
                   5,            0.042472,            0.010007,            0.071154,             0.51312,             0.30057,             0.15205,            0.070769,            0.042654,           0.0082064,             0.06885,            0.009736,            0.009736,            0.009736
                   6,            0.041961,           0.0097721,            0.068846,             0.39476,             0.30097,              0.1772,             0.09063,            0.043531,           0.0072569,            0.066429,             0.00967,             0.00967,             0.00967
                   7,            0.039898,            0.009186,            0.064858,             0.64767,             0.27792,             0.23659,             0.12422,            0.035922,           0.0069689,            0.061316,            0.009604,            0.009604,            0.009604
                   8,            0.039102,           0.0092312,            0.061799,             0.53805,             0.31737,             0.22405,            0.098829,            0.041152,           0.0071033,            0.057248,            0.009538,            0.009538,            0.009538
                   9,            0.037798,           0.0090564,             0.05811,             0.68175,             0.25785,             0.24421,             0.11495,            0.040923,           0.0070628,            0.054354,            0.009472,            0.009472,            0.009472
