               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.094613,            0.030699,            0.089081,             0.00449,             0.50412,             0.01057,           0.0031356,            0.064942,            0.020883,            0.085673,            0.070357,           0.0032937,           0.0032937
                   1,            0.063334,             0.02407,            0.083208,             0.28926,             0.07438,            0.044928,            0.019517,            0.053745,            0.013416,            0.080044,            0.040302,           0.0065723,           0.0065723
                   2,            0.057423,            0.016486,            0.079785,             0.36223,             0.18198,            0.081299,            0.035927,            0.050602,            0.010857,             0.07674,            0.010193,            0.009796,            0.009796
                   3,            0.053354,            0.015491,            0.077184,             0.40983,             0.17126,             0.10129,            0.042529,            0.040379,           0.0096997,            0.074894,           0.0097525,           0.0097525,           0.0097525
                   4,            0.046753,             0.01478,            0.075084,              0.5707,             0.22301,             0.14035,            0.073942,            0.035486,           0.0088587,            0.072756,           0.0097525,           0.0097525,           0.0097525
                   5,            0.043238,            0.012945,            0.072671,             0.49853,              0.2739,             0.15854,            0.075734,            0.038043,            0.008412,            0.070316,             0.00967,             0.00967,             0.00967
                   6,            0.042599,            0.012837,            0.071451,             0.49483,             0.31076,             0.17395,            0.091353,            0.033173,           0.0082191,            0.068305,           0.0095875,           0.0095875,           0.0095875
                   7,            0.041436,            0.012157,            0.068943,              0.6172,             0.31007,             0.21112,             0.11638,            0.032978,           0.0082154,             0.06572,            0.009505,            0.009505,            0.009505
                   8,            0.039623,            0.013894,            0.067528,             0.56913,             0.32584,             0.23788,             0.12116,            0.030612,           0.0080003,            0.063816,           0.0094225,           0.0094225,           0.0094225
                   9,            0.039143,            0.011798,            0.064038,             0.66394,             0.28591,             0.26226,             0.15157,            0.031085,           0.0078622,            0.060215,             0.00934,             0.00934,             0.00934
                  10,            0.038924,            0.011298,             0.06155,              0.6226,             0.33325,              0.3081,             0.17931,            0.030535,           0.0077518,            0.057109,           0.0092575,           0.0092575,           0.0092575
                  11,            0.037634,            0.011761,            0.058709,             0.50333,             0.43662,               0.315,             0.18024,            0.031791,           0.0075611,            0.054446,            0.009175,            0.009175,            0.009175
                  12,            0.036353,            0.011206,            0.056309,             0.53328,             0.44566,             0.35663,             0.19921,            0.029367,           0.0073034,            0.052643,           0.0090925,           0.0090925,           0.0090925
                  13,            0.036545,            0.011078,            0.054652,             0.60846,             0.42918,             0.38648,             0.23135,             0.03017,           0.0073058,            0.050941,             0.00901,             0.00901,             0.00901
                  14,            0.035791,             0.01062,            0.052901,             0.61412,             0.44767,             0.42305,             0.24963,            0.028411,           0.0072533,            0.048536,           0.0089275,           0.0089275,           0.0089275
                  15,            0.035698,            0.011567,            0.051288,             0.54723,             0.50034,             0.44936,             0.28439,            0.027665,           0.0072106,            0.046943,            0.008845,            0.008845,            0.008845
                  16,            0.035059,            0.010977,            0.048749,             0.59095,             0.49234,             0.47803,             0.28842,            0.028575,           0.0072198,            0.044136,           0.0087625,           0.0087625,           0.0087625
                  17,            0.034345,            0.010093,            0.047192,             0.56618,              0.5257,              0.4967,             0.29915,            0.029108,           0.0072617,             0.04149,             0.00868,             0.00868,             0.00868
                  18,            0.034164,           0.0096849,             0.04489,             0.62436,             0.54729,             0.52516,             0.29628,             0.02921,           0.0073244,            0.038897,           0.0085975,           0.0085975,           0.0085975
                  19,            0.034864,            0.010833,            0.042942,             0.62926,             0.57887,             0.57974,             0.35547,             0.02721,           0.0070004,            0.037322,            0.008515,            0.008515,            0.008515
                  20,            0.034238,            0.011396,            0.040892,             0.62559,             0.59908,             0.61857,             0.40026,            0.028425,             0.00693,            0.035656,           0.0084325,           0.0084325,           0.0084325
                  21,            0.033775,            0.011201,            0.039564,             0.72891,             0.60913,             0.65222,             0.41249,            0.027025,           0.0070642,            0.033747,             0.00835,             0.00835,             0.00835
                  22,             0.03427,            0.010868,             0.03768,             0.65406,             0.63297,             0.66309,             0.41547,            0.027262,           0.0069942,            0.031724,           0.0082675,           0.0082675,           0.0082675
                  23,            0.034059,            0.010719,            0.034341,             0.65688,             0.65754,              0.6838,             0.42189,            0.027893,            0.006941,            0.029685,            0.008185,            0.008185,            0.008185
                  24,            0.033107,           0.0098165,            0.033226,             0.67884,             0.69614,             0.71354,             0.45167,            0.028134,           0.0068656,            0.027775,           0.0081025,           0.0081025,           0.0081025
                  25,            0.034264,            0.010014,            0.031909,             0.69848,             0.68354,             0.73129,             0.47729,            0.027235,           0.0070204,            0.026489,             0.00802,             0.00802,             0.00802
                  26,            0.032892,           0.0098205,            0.030478,             0.77796,             0.66174,             0.75665,             0.49057,            0.025479,           0.0067686,            0.024845,           0.0079375,           0.0079375,           0.0079375
                  27,            0.033261,             0.01076,            0.028278,             0.84405,             0.66664,             0.77827,             0.49586,            0.027447,           0.0067258,            0.023548,            0.007855,            0.007855,            0.007855
                  28,            0.033246,            0.010404,            0.027962,             0.76546,             0.71966,             0.80156,             0.51804,            0.026424,           0.0066684,            0.022496,           0.0077725,           0.0077725,           0.0077725
                  29,            0.032397,           0.0099023,            0.026747,             0.85037,             0.69244,             0.80626,             0.52185,            0.025765,           0.0066489,            0.020683,             0.00769,             0.00769,             0.00769
                  30,             0.03261,           0.0099475,            0.025933,              0.7388,             0.79232,              0.8124,             0.52712,            0.025887,           0.0067198,             0.02023,           0.0076075,           0.0076075,           0.0076075
                  31,            0.032547,            0.010587,            0.024647,             0.79145,             0.77057,             0.81604,             0.52756,            0.026291,           0.0068122,            0.019882,            0.007525,            0.007525,            0.007525
                  32,            0.032905,            0.010685,            0.024438,             0.81806,             0.77198,             0.81708,             0.53113,            0.026704,           0.0066305,            0.019389,           0.0074425,           0.0074425,           0.0074425
                  33,            0.032526,             0.01054,            0.023097,             0.79989,             0.80101,             0.85023,             0.54832,            0.026275,           0.0065824,            0.017897,             0.00736,             0.00736,             0.00736
                  34,            0.032353,           0.0096899,            0.022449,             0.80157,             0.85252,              0.8543,             0.55074,            0.027195,           0.0066976,            0.016974,           0.0072775,           0.0072775,           0.0072775
                  35,            0.031555,           0.0095967,             0.02175,             0.79489,             0.80836,             0.85638,             0.55711,            0.027922,           0.0065412,            0.017184,            0.007195,            0.007195,            0.007195
                  36,            0.032593,           0.0091634,            0.021418,             0.80653,             0.84798,             0.88216,             0.59061,            0.025043,            0.006493,            0.016113,           0.0071125,           0.0071125,           0.0071125
                  37,             0.03162,            0.010233,            0.020229,             0.82494,             0.85294,             0.91407,              0.6101,             0.02717,           0.0065379,            0.015309,             0.00703,             0.00703,             0.00703
                  38,            0.031689,           0.0099425,            0.019414,             0.88282,             0.85648,             0.91054,             0.61067,            0.024343,           0.0064164,            0.014774,           0.0069475,           0.0069475,           0.0069475
                  39,            0.030993,           0.0087214,            0.018483,             0.86662,              0.8781,             0.91552,             0.61127,            0.024808,           0.0063921,              0.0147,            0.006865,            0.006865,            0.006865
                  40,            0.030613,           0.0093225,            0.018791,             0.85058,             0.90889,             0.92636,             0.61876,            0.024013,           0.0063258,            0.013151,           0.0067825,           0.0067825,           0.0067825
                  41,             0.03097,            0.010122,            0.017695,             0.87663,             0.88811,             0.92978,              0.6379,            0.024591,           0.0063938,            0.013523,              0.0067,              0.0067,              0.0067
                  42,            0.030283,           0.0087034,            0.016771,             0.87561,             0.90958,             0.93795,             0.63307,            0.024433,           0.0063019,             0.01308,           0.0066175,           0.0066175,           0.0066175
                  43,            0.029701,           0.0089701,            0.017106,             0.88689,              0.8961,             0.94075,             0.64406,            0.024432,           0.0063131,            0.012669,            0.006535,            0.006535,            0.006535
                  44,            0.030625,           0.0097757,            0.017808,             0.90367,             0.89886,             0.94949,             0.62999,            0.024865,           0.0064031,            0.013736,           0.0064525,           0.0064525,           0.0064525
                  45,            0.029996,           0.0092014,            0.017166,             0.91511,             0.92882,              0.9534,             0.63541,            0.024891,           0.0062504,            0.011834,             0.00637,             0.00637,             0.00637
                  46,            0.029897,           0.0092236,            0.016206,             0.88608,             0.88692,             0.92194,             0.63213,            0.023308,           0.0063689,            0.013095,           0.0062875,           0.0062875,           0.0062875
                  47,            0.030822,            0.010036,             0.01628,             0.93247,             0.90163,             0.94669,             0.63696,            0.024228,           0.0063989,            0.011471,            0.006205,            0.006205,            0.006205
                  48,            0.029332,           0.0094198,            0.015408,             0.94238,             0.91992,             0.95908,             0.65881,             0.02351,           0.0063077,             0.01063,           0.0061225,           0.0061225,           0.0061225
                  49,            0.029042,           0.0083854,            0.014392,              0.9257,             0.91618,             0.95265,             0.65523,             0.02334,           0.0062013,            0.010139,             0.00604,             0.00604,             0.00604
                  50,            0.029716,            0.010079,            0.013274,             0.91259,             0.92822,             0.96158,             0.66769,             0.02483,           0.0063335,           0.0098813,           0.0059575,           0.0059575,           0.0059575
                  51,            0.030729,            0.010407,            0.014692,             0.94186,             0.91421,             0.96356,              0.6609,            0.024831,           0.0062275,            0.010363,            0.005875,            0.005875,            0.005875
                  52,            0.030211,           0.0090994,            0.014405,             0.90477,             0.93831,             0.95481,              0.6514,            0.024098,           0.0061912,            0.010531,           0.0057925,           0.0057925,           0.0057925
                  53,            0.028946,           0.0086647,            0.012739,             0.93248,             0.92169,             0.95494,             0.65598,             0.02265,           0.0062628,           0.0093715,             0.00571,             0.00571,             0.00571
                  54,            0.028795,           0.0089955,            0.012788,             0.94848,             0.92758,             0.96269,             0.67774,             0.02321,           0.0060891,           0.0094052,           0.0056275,           0.0056275,           0.0056275
                  55,            0.028812,           0.0095157,            0.012154,             0.95467,             0.93301,             0.96365,             0.66354,            0.023137,           0.0061172,           0.0088161,            0.005545,            0.005545,            0.005545
                  56,            0.027943,           0.0093417,            0.012827,             0.96115,             0.92719,             0.96432,             0.66965,             0.02329,           0.0061172,           0.0082943,           0.0054625,           0.0054625,           0.0054625
