               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092176,             0.10402,            0.087256,            0.016152,             0.33865,            0.021836,           0.0092778,            0.068216,             0.10203,             0.07718,            0.070194,           0.0033118,           0.0033118
                   1,            0.066764,            0.076979,            0.073317,            0.016798,             0.40276,            0.028186,            0.011566,             0.06575,            0.085143,            0.068242,            0.040161,           0.0066123,           0.0066123
                   2,            0.062434,            0.069053,            0.069078,            0.018371,             0.44223,            0.046112,            0.019901,            0.055925,            0.086579,            0.065788,            0.010095,           0.0098797,           0.0098797
                   3,            0.056167,            0.069379,            0.067201,            0.023832,             0.58826,            0.062455,             0.03242,            0.041132,            0.087702,            0.064774,           0.0098515,           0.0098515,           0.0098515
                   4,            0.048218,            0.066206,            0.065807,            0.025962,              0.6359,             0.07726,            0.037696,            0.043393,            0.088422,            0.063551,           0.0098515,           0.0098515,           0.0098515
                   5,            0.045122,            0.063174,            0.064243,            0.027107,             0.65323,            0.088414,            0.049445,            0.038695,            0.086359,            0.062031,            0.009802,            0.009802,            0.009802
                   6,            0.042732,            0.062437,             0.06211,             0.13039,             0.34297,            0.098818,             0.05564,            0.036976,             0.08232,            0.060756,           0.0097525,           0.0097525,           0.0097525
                   7,             0.04103,            0.062548,            0.061527,             0.43509,             0.14228,               0.111,             0.06925,            0.035391,            0.082179,            0.059564,            0.009703,            0.009703,            0.009703
                   8,            0.040293,             0.06143,            0.060194,             0.50971,             0.14718,               0.123,            0.083429,            0.032846,            0.082125,            0.058298,           0.0096535,           0.0096535,           0.0096535
                   9,            0.039147,             0.06037,            0.059139,             0.63451,             0.14921,             0.14374,            0.096021,            0.032597,            0.081706,            0.057208,            0.009604,            0.009604,            0.009604
                  10,            0.036685,            0.062502,            0.057726,             0.59605,             0.20354,             0.17366,             0.12237,            0.031036,            0.077727,            0.055889,           0.0095545,           0.0095545,           0.0095545
                  11,            0.037654,            0.061562,            0.056074,             0.63421,             0.25394,             0.20152,             0.13468,             0.03222,            0.075435,            0.054155,            0.009505,            0.009505,            0.009505
                  12,            0.037657,            0.059693,            0.054464,             0.57903,             0.26133,             0.22374,             0.14708,            0.032132,            0.080704,            0.052754,           0.0094555,           0.0094555,           0.0094555
                  13,            0.037484,            0.058576,            0.053128,             0.66849,             0.27701,             0.24192,             0.16454,            0.032589,            0.077222,            0.051284,            0.009406,            0.009406,            0.009406
                  14,            0.036523,            0.059336,            0.051623,             0.63105,             0.30617,             0.27961,             0.18627,             0.03173,            0.078547,            0.049554,           0.0093565,           0.0093565,           0.0093565
                  15,            0.037179,            0.059129,            0.050466,             0.67618,             0.28558,             0.30458,             0.21311,            0.030736,            0.079408,            0.048554,            0.009307,            0.009307,            0.009307
                  16,            0.036447,            0.056404,            0.047836,             0.83371,              0.2674,             0.33194,             0.22051,            0.032645,            0.077721,             0.04566,           0.0092575,           0.0092575,           0.0092575
                  17,            0.036333,            0.060007,            0.046959,             0.77153,             0.29482,             0.36434,             0.25949,            0.029875,            0.077675,            0.043479,            0.009208,            0.009208,            0.009208
                  18,            0.035838,            0.059147,            0.043627,              0.7172,             0.31728,             0.37716,              0.2636,            0.029464,            0.082287,            0.041632,           0.0091585,           0.0091585,           0.0091585
                  19,            0.036392,            0.058163,            0.041751,             0.61171,             0.38541,             0.41909,             0.29158,            0.030534,            0.080292,            0.039541,            0.009109,            0.009109,            0.009109
                  20,            0.036348,            0.059067,            0.039974,             0.67588,             0.39496,              0.4576,             0.32009,            0.031103,            0.078609,            0.037405,           0.0090595,           0.0090595,           0.0090595
                  21,            0.035397,            0.055912,             0.03742,             0.72854,             0.42273,             0.48113,             0.33229,            0.029881,            0.075252,            0.035306,             0.00901,             0.00901,             0.00901
                  22,             0.03651,            0.057184,            0.035883,             0.64397,             0.46535,             0.50135,             0.35938,            0.029737,            0.074426,            0.033464,           0.0089605,           0.0089605,           0.0089605
