               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.092176,             0.10402,            0.087256,            0.016026,             0.33521,             0.02174,           0.0092403,            0.068221,             0.10204,             0.07718,            0.070194,           0.0033118,           0.0033118
                   1,            0.065529,            0.077257,            0.073323,            0.015264,             0.35731,            0.032692,            0.014937,            0.063649,            0.085581,            0.068258,            0.040167,           0.0066188,           0.0066188
                   2,            0.063699,            0.069033,            0.069096,            0.019921,             0.48906,            0.047909,            0.022161,            0.051738,            0.082507,            0.065824,            0.010115,           0.0098995,           0.0098995
                   3,             0.05602,             0.06989,            0.067231,            0.026465,             0.65542,               0.066,            0.031748,            0.045208,            0.080662,            0.064678,           0.0098812,           0.0098812,           0.0098812
                   4,            0.048727,            0.066473,            0.065863,            0.028352,              0.6771,            0.084486,            0.045411,            0.042846,            0.083336,            0.063369,           0.0098812,           0.0098812,           0.0098812
                   5,             0.04478,             0.06307,            0.064287,            0.027689,             0.68232,             0.08687,            0.046502,            0.040277,            0.087934,            0.062104,           0.0098416,           0.0098416,           0.0098416
                   6,            0.041563,            0.063098,            0.062116,             0.12787,             0.35216,            0.097504,            0.059721,            0.035066,            0.088219,            0.060782,            0.009802,            0.009802,            0.009802
                   7,            0.041421,             0.06252,            0.061564,             0.43753,             0.14214,             0.11202,            0.068872,            0.036965,            0.078827,            0.059583,           0.0097624,           0.0097624,           0.0097624
                   8,            0.040309,            0.061645,            0.060225,             0.53042,             0.15109,             0.12403,            0.081938,            0.035661,            0.082518,             0.05838,           0.0097228,           0.0097228,           0.0097228
                   9,            0.038762,            0.060842,            0.059287,             0.60539,             0.14067,             0.14067,            0.094222,            0.033025,             0.08145,            0.057357,           0.0096832,           0.0096832,           0.0096832
                  10,            0.037247,            0.062176,            0.057938,             0.61698,             0.17182,             0.16379,              0.1116,            0.033439,            0.078327,            0.056039,           0.0096436,           0.0096436,           0.0096436
                  11,            0.037101,            0.061858,            0.056367,             0.64085,              0.2384,             0.20561,             0.13497,            0.031718,             0.07399,            0.054314,            0.009604,            0.009604,            0.009604
                  12,            0.037768,            0.059643,            0.054719,             0.62338,             0.25719,             0.22132,             0.15021,            0.031821,            0.079597,            0.052956,           0.0095644,           0.0095644,           0.0095644
                  13,            0.037437,            0.058536,            0.053414,             0.64817,             0.27452,             0.24905,              0.1587,            0.034289,            0.079224,            0.051474,           0.0095248,           0.0095248,           0.0095248
                  14,            0.036135,            0.059431,            0.051862,             0.65895,             0.29271,             0.27877,             0.19679,            0.029734,            0.079852,            0.049635,           0.0094852,           0.0094852,           0.0094852
                  15,            0.035396,            0.059346,            0.050694,             0.63055,             0.26712,             0.27829,             0.19941,            0.031037,             0.09683,            0.050843,           0.0094456,           0.0094456,           0.0094456
                  16,            0.036397,            0.056613,            0.048065,             0.72198,             0.27444,              0.3366,             0.21762,            0.031733,             0.07724,            0.045649,            0.009406,            0.009406,            0.009406
                  17,            0.037415,            0.059979,            0.047248,             0.71564,             0.30845,             0.36917,             0.25572,             0.03043,            0.075024,            0.043679,           0.0093664,           0.0093664,           0.0093664
                  18,            0.036701,            0.059201,            0.043895,             0.67392,             0.32934,             0.37845,             0.23915,             0.03367,            0.081261,            0.041628,           0.0093268,           0.0093268,           0.0093268
                  19,            0.036156,            0.058146,            0.042079,             0.70519,             0.36284,             0.42995,             0.28574,             0.03074,            0.079009,            0.039533,           0.0092872,           0.0092872,           0.0092872
                  20,            0.036676,            0.059237,            0.040164,             0.72989,             0.36983,              0.4576,             0.31957,            0.031046,            0.079865,            0.037731,           0.0092476,           0.0092476,           0.0092476
                  21,             0.03566,            0.055942,            0.037606,             0.74418,             0.38496,             0.48557,             0.33699,            0.029965,            0.079255,            0.035446,            0.009208,            0.009208,            0.009208
                  22,            0.036726,            0.057307,            0.035974,             0.78367,             0.40604,             0.51253,             0.36673,            0.030665,            0.077325,            0.033534,           0.0091684,           0.0091684,           0.0091684
                  23,            0.036307,            0.057678,            0.033946,             0.80693,             0.43066,             0.52997,             0.35664,            0.032278,            0.078868,            0.031671,           0.0091288,           0.0091288,           0.0091288
                  24,            0.035839,            0.058002,            0.032001,             0.78833,             0.46691,              0.5663,             0.40072,            0.030608,            0.079195,            0.029852,           0.0090892,           0.0090892,           0.0090892
                  25,            0.036168,             0.05702,            0.029826,             0.79711,             0.49579,             0.59651,             0.43101,            0.030721,            0.079574,             0.02808,           0.0090496,           0.0090496,           0.0090496
                  26,            0.035377,            0.055154,            0.028666,             0.79388,             0.50905,             0.61836,             0.43342,            0.030476,            0.080107,            0.026529,             0.00901,             0.00901,             0.00901
                  27,             0.03582,            0.057952,            0.026955,             0.84598,             0.53016,             0.63745,             0.44181,            0.030709,            0.079326,            0.025026,           0.0089704,           0.0089704,           0.0089704
                  28,            0.035152,               0.056,            0.025461,             0.78326,             0.58946,             0.67738,             0.48658,            0.030701,            0.073475,            0.023458,           0.0089308,           0.0089308,           0.0089308
                  29,            0.034676,            0.056672,             0.02416,              0.8055,             0.59949,             0.68713,             0.49755,            0.030437,            0.074963,            0.021924,           0.0088912,           0.0088912,           0.0088912
                  30,            0.035201,            0.056683,            0.022629,             0.82954,             0.60779,             0.71547,             0.53594,             0.02841,            0.073993,             0.02078,           0.0088516,           0.0088516,           0.0088516
                  31,            0.034952,            0.056809,            0.021204,             0.83938,             0.62642,             0.72999,              0.5299,            0.030024,            0.075598,            0.019465,            0.008812,            0.008812,            0.008812
                  32,            0.035435,            0.056718,            0.020328,             0.86605,             0.64472,             0.74466,             0.52687,            0.030548,             0.07594,            0.018745,           0.0087724,           0.0087724,           0.0087724
                  33,            0.035546,             0.05627,            0.019182,             0.87449,             0.67903,             0.78042,             0.56964,            0.028623,            0.072067,            0.017779,           0.0087328,           0.0087328,           0.0087328
                  34,            0.034556,            0.057055,            0.018662,             0.82385,             0.69666,             0.78748,             0.58701,            0.028736,            0.070787,            0.016741,           0.0086932,           0.0086932,           0.0086932
                  35,            0.034763,            0.055122,            0.017854,              0.8593,             0.70216,             0.79192,             0.56801,            0.031551,            0.072793,            0.016307,           0.0086536,           0.0086536,           0.0086536
                  36,            0.035084,            0.056434,             0.01727,             0.80427,             0.73848,             0.80596,              0.5764,            0.029782,            0.073987,            0.015478,            0.008614,            0.008614,            0.008614
                  37,             0.03425,            0.055161,             0.01636,             0.80859,             0.73789,              0.8038,              0.5563,            0.032697,            0.074582,            0.014806,           0.0085744,           0.0085744,           0.0085744
                  38,            0.034436,            0.057476,            0.016372,             0.84285,             0.75746,             0.82312,             0.58333,            0.030524,            0.071644,            0.014379,           0.0085348,           0.0085348,           0.0085348
                  39,            0.033694,            0.056681,            0.015188,             0.91507,             0.72875,             0.82002,             0.58572,            0.031549,            0.078385,            0.013689,           0.0084952,           0.0084952,           0.0084952
                  40,            0.033732,            0.056359,            0.014436,             0.91243,             0.76243,             0.83768,             0.61089,            0.030143,            0.072192,            0.013452,           0.0084556,           0.0084556,           0.0084556
                  41,            0.033696,            0.055127,            0.013918,             0.91969,             0.77812,             0.85588,              0.6079,            0.029259,            0.069044,            0.013036,            0.008416,            0.008416,            0.008416
                  42,            0.033531,            0.054587,            0.013423,             0.88967,             0.80282,             0.86216,             0.65102,            0.028607,            0.071018,            0.012668,           0.0083764,           0.0083764,           0.0083764
                  43,            0.033468,            0.054426,            0.013157,             0.90922,             0.79077,             0.86386,             0.61328,            0.029803,            0.069888,            0.012151,           0.0083368,           0.0083368,           0.0083368
                  44,             0.03297,             0.05547,            0.012391,             0.92639,             0.80235,             0.87548,             0.66113,            0.028126,            0.067776,            0.011775,           0.0082972,           0.0082972,           0.0082972
                  45,            0.032557,            0.054505,            0.012132,             0.92896,             0.80728,             0.87813,             0.63978,            0.028833,            0.070723,              0.0113,           0.0082576,           0.0082576,           0.0082576
